"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
nom,nom,ff,ff,ss,ss,fnsp,fnsp
1.001073423781757e-07,-3.632952597784447e-05,1.000424077867853e-07,3.590211941192965e-07,1.001e-07,1.395660148762129e-06,1.001070425944491e-07,-4.088929112809923e-05
1.001115000684967e-07,-4.204566423306792e-05,1.000480338190287e-07,3.534188811239483e-07,1.001046346134838e-07,1.829106393760781e-06,1.001111134764393e-07,-4.538679768708149e-05
1.001175232784715e-07,-4.590761078791134e-05,1.000542819643438e-07,3.985373716970003e-07,1.001108290666413e-07,1.585774186145435e-06,1.001189894848468e-07,-4.62150916760564e-05
1.001248103890828e-07,-4.119756586703173e-05,1.000607278395832e-07,6.045505597418533e-07,1.001153171633649e-07,-1.305142062417026e-07,1.001257191456201e-07,-3.762995409203049e-05
1.001317175397014e-07,-2.791469740838147e-05,1.000669674561589e-07,1.077900482552578e-06,1.001219669355756e-07,-5.899630850138139e-06,1.001318861748295e-07,-2.536333272201399e-05
1.001378637487994e-07,-1.443888593382308e-05,1.000726573911471e-07,1.153486660461816e-06,1.001281582228038e-07,-1.366802761165382e-05,1.001381549725371e-07,-1.431505303650996e-05
1.001456175850926e-07,-2.16986021985264e-06,1.000779363711413e-07,-5.342992386883291e-06,1.00135039829254e-07,-2.25845749190117e-05,1.001451756097228e-07,-5.470469878512923e-06
1.001537400894856e-07,5.436212966762716e-06,1.000822146235244e-07,-1.848373001674564e-05,1.001456190116715e-07,-3.368216328492388e-05,1.001526682037456e-07,1.406221855949386e-06
1.001624493824548e-07,1.040559269091936e-05,1.000869225699459e-07,-3.484900079769845e-05,1.001560324681602e-07,-4.006220814970537e-05,1.001620757629033e-07,8.321822370207058e-06
1.001733684460793e-07,1.471753741132799e-05,1.00091386064073e-07,-4.603498277223552e-05,1.001686482342044e-07,-3.879595741232969e-05,1.001750702550126e-07,1.585355710095821e-05
1.001898356812636e-07,1.913407701116757e-05,1.000956930320365e-07,-5.173874475553681e-05,1.001793089083888e-07,-2.935638197263095e-05,1.001965944344388e-07,2.283004600021823e-05
1.002152132718189e-07,2.112947253989685e-05,1.001e-07,-5.062358814847718e-05,1.001890600003618e-07,-1.851132952143434e-05,1.002236977929158e-07,2.24363647544668e-05
1.002505320426421e-07,1.462036195772764e-05,1.001039301387275e-07,-4.085570834353768e-05,1.002012024141942e-07,-8.22180446968587e-06,1.002530671050598e-07,1.4734153595421e-05
1.002834173741468e-07,5.089095151974288e-06,1.001086554038732e-07,-2.53483322235397e-05,1.002132266310576e-07,-1.549108604229673e-06,1.002846515410407e-07,5.699178949400502e-06
1.003205962559429e-07,-1.014371294344459e-06,1.001128176060682e-07,-9.689290614851111e-06,1.002266978287394e-07,3.61395249872454e-06,1.003247661328784e-07,-7.782766092934755e-07
1.003682447394315e-07,-2.487347730714501e-06,1.001185629073936e-07,5.692777140959154e-06,1.002438489355176e-07,8.756595360715718e-06,1.003863387149128e-07,-2.81002028537855e-06
1.004203902524245e-07,-1.520012583182394e-06,1.00123982844452e-07,1.382883101065635e-05,1.002713219170915e-07,1.514776056641601e-05,1.004451895742677e-07,-1.727083263973718e-06
1.004814289560711e-07,-5.264396310344332e-07,1.001303727478442e-07,1.878887522299443e-05,1.003108352117592e-07,1.9194541527883e-05,1.005115965473375e-07,-8.76624073643241e-07
1.005599133365912e-07,-1.172233778903512e-07,1.001378668610654e-07,2.162603703522601e-05,1.003651599501868e-07,1.525284229639029e-05,1.005919644831259e-07,-5.464646251870727e-07
1.00675224357858e-07,-4.27858877650321e-08,1.001487467819133e-07,2.409894846174958e-05,1.004135590386168e-07,7.355210910955003e-06,1.007123921161533e-07,-4.255122535367932e-07
1.008656558123364e-07,-4.562753992791321e-08,1.001651157827104e-07,2.440443248901569e-05,1.004692069887822e-07,6.493676922808616e-07,1.009086792354802e-07,-4.000339653229281e-07
1.012461826636451e-07,-3.796861251699346e-08,1.001884420575405e-07,1.634350707510371e-05,1.005414927861473e-07,-2.217992925493743e-06,1.012816995920902e-07,-3.56492406590068e-07
1.019586146195851e-07,-3.712494562817237e-08,1.002133016016285e-07,5.023035188230275e-06,1.006251015861075e-07,-1.771626889483925e-06,1.0202774030531e-07,-2.582435654091339e-07
1.033834785314651e-07,-2.643097566178862e-08,1.002402011431182e-07,-1.208232369410272e-06,1.007164698134675e-07,-7.155278540868765e-07,1.035198217317497e-07,-1.159874911662484e-07
1.054884503393215e-07,-5.752082722301253e-09,1.002732665686269e-07,-2.366381361659346e-06,1.008286303169804e-07,-1.864258277212307e-07,1.05972429757854e-07,3.937332296060451e-08
1.080470749037334e-07,1.686263552962038e-08,1.003088216872449e-07,-1.22548592087397e-06,1.009851823408043e-07,-9.11723726703582e-09,1.101298021783262e-07,1.696351388337388e-07
1.126332333330727e-07,5.438945047304793e-08,1.003520513579318e-07,-3.377721078777477e-07,1.012329101065414e-07,-2.575431036825133e-08,1.15248863394853e-07,2.308406216686945e-07
1.196022585284572e-07,9.657330186315813e-08,1.004083226155111e-07,8.908876358734231e-08,1.016796143443077e-07,-1.414947232542125e-09,1.235875499027908e-07,2.575768102437591e-07
1.298819192335275e-07,1.388164884311527e-07,1.004936132906383e-07,1.630626594851567e-07,1.025730228198403e-07,-2.013702748080847e-08,1.373387052354636e-07,2.662714112390302e-07
1.399409596167637e-07,1.612966207975203e-07,1.006328921576175e-07,1.668211563859485e-07,1.043574914457256e-07,-6.912577874756201e-09,1.5e-07,2.664336343816122e-07
1.5e-07,1.747545915300193e-07,1.009114498915758e-07,1.941467466346374e-07,1.078307664491697e-07,2.835014342169027e-09,1.50025e-07,2.600756051192127e-07
1.50025e-07,1.744310770122547e-07,1.014155232109186e-07,2.381252426324541e-07,1.127749506162524e-07,1.656912148415557e-08,1.500651644797024e-07,2.391525483997661e-08
1.500650759496386e-07,-7.649057710396322e-08,1.022322733243089e-07,3.109184303691412e-07,1.189474916582785e-07,3.35023856139614e-08,1.500738733597768e-07,8.359858309463972e-07
